US$	dollar amerika serikat
nzd	dollar new zealand
rs	rupee
chf	franc swiss
dkk	kroner denmark
fim	markka finland
aed	dirham arab
czk	koruna ceko
mro	ouguiya mauritania
pkr	rupee pakistan
crc	colon costa rica
hk$	dollar hong kong
npr	rupee nepal
awg	florin aruban
nok	kroner norwegia
tzs	shilling tanzania
sek	kronor swedish
cyp	pounds cypriot
sar	riyal saudi
cve	escudo cape verde
rsd	dinar serbia
dm	mark jerman
shp	pounds saint helena
php	peso philipina
cad	dollar canada
ssp	pounds sudan selatan
scr	rupee seychell
mvr	rufiyaa maldivia
Rp	rupiah
r	real
$	dollar
€	euro
£	pounds
₩	won
¥	yen
